REPORT : H,IGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
2006-02-13 00:00:00,2006-02-13 00:00:00,11.25,2006-02-13 00:00:00,11.25,11.25,5,6900,77625,2006-02-13 00:00:00,1
2006-02-14 00:00:00,2006-02-14 00:00:00,11.25,2006-02-14 00:00:00,11,11.25,14,19400,215925,2006-02-14 00:00:00,1
2006-02-15 00:00:00,2006-02-15 00:00:00,11.5,2006-02-15 00:00:00,11.25,11.25,14,27000,309025,2006-02-15 00:00:00,1
2006-02-16 00:00:00,2006-02-16 00:00:00,11.25,2006-02-16 00:00:00,11,11,15,21100,234100,2006-02-16 00:00:00,1
2006-02-17 00:00:00,2006-02-17 00:00:00,11,2006-02-17 00:00:00,11,11,7,19500,214500,2006-02-17 00:00:00,1
2006-02-20 00:00:00,2006-02-20 00:00:00,11.25,2006-02-20 00:00:00,10,11.25,4,1300,14450,2006-02-20 00:00:00,1
2006-02-21 00:00:00,2006-02-21 00:00:00,11,2006-02-21 00:00:00,11,11,1,500,5500,2006-02-21 00:00:00,1
2006-02-22 00:00:00,2006-02-22 00:00:00,11.5,2006-02-22 00:00:00,11,11.25,9,9000,101250,2006-02-22 00:00:00,1
2006-02-23 00:00:00,2006-02-23 00:00:00,11.25,2006-02-23 00:00:00,11,11,11,4900,54025,2006-02-23 00:00:00,1
2006-02-24 00:00:00,2006-02-24 00:00:00,11.75,2006-02-24 00:00:00,11.25,11.5,62,83900,960025,2006-02-24 00:00:00,1
2006-02-27 00:00:00,2006-02-27 00:00:00,11.5,2006-02-27 00:00:00,11.25,11.5,5,2700,30500,2006-02-27 00:00:00,1
2006-02-28 00:00:00,2006-02-28 00:00:00,11.5,2006-02-28 00:00:00,11.25,11.25,12,11600,131900,2006-02-28 00:00:00,1
2006-03-01 00:00:00,2006-03-01 00:00:00,11.25,2006-03-01 00:00:00,11.25,11.25,2,1000,11250,2006-03-01 00:00:00,1
2006-03-02 00:00:00,2006-03-02 00:00:00,12,2006-03-02 00:00:00,11.25,11.5,63,101900,1195475,2006-03-02 00:00:00,1
2006-03-03 00:00:00,2006-03-03 00:00:00,12.75,2006-03-03 00:00:00,11.5,12.25,135,350600,4266950,2006-03-03 00:00:00,1
2006-03-06 00:00:00,2006-03-06 00:00:00,12.5,2006-03-06 00:00:00,12,12.25,51,80500,985400,2006-03-06 00:00:00,1
2006-03-07 00:00:00,2006-03-07 00:00:00,12,2006-03-07 00:00:00,12,12,10,14600,175200,2006-03-07 00:00:00,1
2006-03-08 00:00:00,2006-03-08 00:00:00,12.25,2006-03-08 00:00:00,12,12.25,18,54200,651150,2006-03-08 00:00:00,1
2006-03-09 00:00:00,2006-03-09 00:00:00,12,2006-03-09 00:00:00,12,12,8,14800,177600,2006-03-09 00:00:00,1
2006-03-10 00:00:00,2006-03-10 00:00:00,12.5,2006-03-10 00:00:00,12,12.25,46,133700,1622000,2006-03-10 00:00:00,1
2006-03-13 00:00:00,2006-03-13 00:00:00,12.5,2006-03-13 00:00:00,12.25,12.25,19,23300,286850,2006-03-13 00:00:00,1
2006-03-15 00:00:00,2006-03-15 00:00:00,12.5,2006-03-15 00:00:00,12.25,12.25,12,20300,248750,2006-03-15 00:00:00,1
2006-03-16 00:00:00,2006-03-16 00:00:00,12.5,2006-03-16 00:00:00,12.25,12.5,8,15000,184500,2006-03-16 00:00:00,1
2006-03-17 00:00:00,2006-03-17 00:00:00,12.25,2006-03-17 00:00:00,12,12.25,7,15000,183250,2006-03-17 00:00:00,1
2006-03-20 00:00:00,2006-03-20 00:00:00,12.25,2006-03-20 00:00:00,12.25,12.25,14,10200,124950,2006-03-20 00:00:00,1
2006-03-21 00:00:00,2006-03-21 00:00:00,12.25,2006-03-21 00:00:00,12,12,22,44100,531800,2006-03-21 00:00:00,1
2006-03-22 00:00:00,2006-03-22 00:00:00,12.25,2006-03-22 00:00:00,12,12,14,27600,337300,2006-03-22 00:00:00,1
2006-03-23 00:00:00,2006-03-23 00:00:00,12.25,2006-03-23 00:00:00,12,12.25,13,23300,285150,2006-03-23 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,2,
,,,==========,===========,===========,==========,================,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN AL,LIANCE,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-03-24 00:00:00,2006-03-24 00:00:00,12.25,2006-03-24 00:00:00,12.25,12.25,2,2000,24500,2006-03-24 00:00:00,1
2006-03-27 00:00:00,2006-03-27 00:00:00,12.25,2006-03-27 00:00:00,12,12,26,91000,1092050,2006-03-27 00:00:00,1
2006-03-28 00:00:00,2006-03-28 00:00:00,13,2006-03-28 00:00:00,12,12.75,105,194100,2451525,2006-03-28 00:00:00,1
2006-03-29 00:00:00,2006-03-29 00:00:00,13,2006-03-29 00:00:00,12.5,13,62,67000,867550,2006-03-29 00:00:00,1
2006-03-30 00:00:00,2006-03-30 00:00:00,13.5,2006-03-30 00:00:00,13,13,51,78600,1028000,2006-03-30 00:00:00,1
2006-03-31 00:00:00,2006-03-31 00:00:00,13.75,2006-03-31 00:00:00,12.75,12.75,76,280000,3655025,2006-03-31 00:00:00,1
2006-04-03 00:00:00,2006-04-03 00:00:00,13.25,2006-04-03 00:00:00,12.75,12.75,22,24000,314650,2006-04-03 00:00:00,1
2006-04-04 00:00:00,2006-04-04 00:00:00,13,2006-04-04 00:00:00,12.75,12.75,11,10100,129625,2006-04-04 00:00:00,1
2006-04-05 00:00:00,2006-04-05 00:00:00,13.25,2006-04-05 00:00:00,13,13,11,30100,392575,2006-04-05 00:00:00,1
2006-04-06 00:00:00,2006-04-06 00:00:00,13.25,2006-04-06 00:00:00,13,13,69,109500,1428275,2006-04-06 00:00:00,1
2006-04-07 00:00:00,2006-04-07 00:00:00,13.25,2006-04-07 00:00:00,13,13,21,46100,603175,2006-04-07 00:00:00,1
2006-04-10 00:00:00,2006-04-10 00:00:00,13.75,2006-04-10 00:00:00,13,13.5,39,113700,1519375,2006-04-10 00:00:00,1
2006-04-17 00:00:00,2006-04-17 00:00:00,12.75,2006-04-17 00:00:00,12.25,12.5,18,17200,215800,2006-04-17 00:00:00,1
2006-04-18 00:00:00,2006-04-18 00:00:00,13.25,2006-04-18 00:00:00,13,13,6,2600,33925,2006-04-18 00:00:00,1
2006-04-19 00:00:00,2006-04-19 00:00:00,12.75,2006-04-19 00:00:00,12.5,12.5,6,3400,43000,2006-04-19 00:00:00,1
2006-04-20 00:00:00,2006-04-20 00:00:00,12.75,2006-04-20 00:00:00,12.5,12.5,6,3000,37875,2006-04-20 00:00:00,1
2006-04-21 00:00:00,2006-04-21 00:00:00,12.75,2006-04-21 00:00:00,12,12.75,8,13200,165900,2006-04-21 00:00:00,1
2006-04-24 00:00:00,2006-04-24 00:00:00,12.5,2006-04-24 00:00:00,12.25,12.25,10,4900,60075,2006-04-24 00:00:00,1
2006-04-25 00:00:00,2006-04-25 00:00:00,12.5,2006-04-25 00:00:00,11.5,12,39,108200,1303225,2006-04-25 00:00:00,1
2006-04-26 00:00:00,2006-04-26 00:00:00,11,2006-04-26 00:00:00,11,11,12,39900,438900,2006-04-26 00:00:00,1
2006-04-27 00:00:00,2006-04-27 00:00:00,12,2006-04-27 00:00:00,11.25,11.75,6,20000,233750,2006-04-27 00:00:00,1
2006-04-28 00:00:00,2006-04-28 00:00:00,12.75,2006-04-28 00:00:00,12.5,12.75,12,15000,188425,2006-04-28 00:00:00,1
2006-05-02 00:00:00,2006-05-02 00:00:00,12.5,2006-05-02 00:00:00,12.5,12.5,3,4500,56250,2006-05-02 00:00:00,1
2006-05-03 00:00:00,2006-05-03 00:00:00,12.75,2006-05-03 00:00:00,12,12.25,12,118300,1455875,2006-05-03 00:00:00,1
2006-05-04 00:00:00,2006-05-04 00:00:00,13.25,2006-05-04 00:00:00,12.25,13,36,69000,901000,2006-05-04 00:00:00,1
2006-05-05 00:00:00,2006-05-05 00:00:00,13,2006-05-05 00:00:00,12.75,13,8,19200,248350,2006-05-05 00:00:00,1
2006-05-08 00:00:00,2006-05-08 00:00:00,13,2006-05-08 00:00:00,12.5,12.75,25,61100,783975,2006-05-08 00:00:00,1
2006-05-09 00:00:00,2006-05-09 00:00:00,13.5,2006-05-09 00:00:00,13,13.5,71,257300,3449075,2006-05-09 00:00:00,1
2006-05-10 00:00:00,2006-05-10 00:00:00,13.25,2006-05-10 00:00:00,13,13,2,1500,19750,2006-05-10 00:00:00,1
2006-05-15 00:00:00,2006-05-15 00:00:00,13,2006-05-15 00:00:00,12.25,12.75,6,12100,152425,2006-05-15 00:00:00,1
2006-05-17 00:00:00,2006-05-17 00:00:00,13,2006-05-17 00:00:00,12.75,13,7,39500,512125,2006-05-17 00:00:00,1
2006-05-19 00:00:00,2006-05-19 00:00:00,13,2006-05-19 00:00:00,12.75,13,9,11400,147950,2006-05-19 00:00:00,1
2006-05-22 00:00:00,2006-05-22 00:00:00,13,2006-05-22 00:00:00,12.5,12.75,5,16000,207500,2006-05-22 00:00:00,1
2006-05-23 00:00:00,2006-05-23 00:00:00,12.75,2006-05-23 00:00:00,12.75,12.75,1,9000,114750,2006-05-23 00:00:00,1
2006-05-24 00:00:00,2006-05-24 00:00:00,12.75,2006-05-24 00:00:00,11,12.25,5,3400,41475,2006-05-24 00:00:00,1
2006-05-25 00:00:00,2006-05-25 00:00:00,12.5,2006-05-25 00:00:00,12.5,12.5,1,3000,37500,2006-05-25 00:00:00,1
2006-05-30 00:00:00,2006-05-30 00:00:00,12.25,2006-05-30 00:00:00,12.25,12.25,1,2500,30625,2006-05-30 00:00:00,1
2006-05-31 00:00:00,2006-05-31 00:00:00,12.25,2006-05-31 00:00:00,12,12,8,6800,81675,2006-05-31 00:00:00,1
2006-06-01 00:00:00,2006-06-01 00:00:00,12.5,2006-06-01 00:00:00,12,12.5,7,10800,133400,2006-06-01 00:00:00,1
2006-06-02 00:00:00,2006-06-02 00:00:00,12.75,2006-06-02 00:00:00,12.75,12.75,2,3000,38250,2006-06-02 00:00:00,1
2006-06-05 00:00:00,2006-06-05 00:00:00,13,2006-06-05 00:00:00,13,13,5,7200,93600,2006-06-05 00:00:00,1
2006-06-09 00:00:00,2006-06-09 00:00:00,12,2006-06-09 00:00:00,12,12,1,400,4800,2006-06-09 00:00:00,1
2006-06-13 00:00:00,2006-06-13 00:00:00,12.25,2006-06-13 00:00:00,12,12,4,9400,112875,2006-06-13 00:00:00,1
2006-06-14 00:00:00,2006-06-14 00:00:00,12,2006-06-14 00:00:00,12,12,1,3000,36000,2006-06-14 00:00:00,1
2006-06-15 00:00:00,2006-06-15 00:00:00,12,2006-06-15 00:00:00,12,12,7,9700,116400,2006-06-15 00:00:00,1
2006-06-19 00:00:00,2006-06-19 00:00:00,12.25,2006-06-19 00:00:00,12.25,12.25,1,100,1225,2006-06-19 00:00:00,1
2006-06-20 00:00:00,2006-06-20 00:00:00,11.75,2006-06-20 00:00:00,11.5,11.5,5,2400,27725,2006-06-20 00:00:00,1
2006-06-26 00:00:00,2006-06-26 00:00:00,13.5,2006-06-26 00:00:00,12,12.5,6,4000,49700,2006-06-26 00:00:00,1
2006-06-27 00:00:00,2006-06-27 00:00:00,12,2006-06-27 00:00:00,12,12,4,1500,18000,2006-06-27 00:00:00,1
2006-06-28 00:00:00,2006-06-28 00:00:00,12,2006-06-28 00:00:00,12,12,4,7000,84000,2006-06-28 00:00:00,1
2006-06-29 00:00:00,2006-06-29 00:00:00,12,2006-06-29 00:00:00,12,12,2,2500,30000,2006-06-29 00:00:00,1
2006-07-03 00:00:00,2006-07-03 00:00:00,12,2006-07-03 00:00:00,12,12,2,2000,24000,2006-07-03 00:00:00,1
2006-07-04 00:00:00,2006-07-04 00:00:00,12,2006-07-04 00:00:00,12,12,6,7000,84000,2006-07-04 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,3,
,,,==========,===========,===========,==========,================,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN AL,LIANCE,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-07-05 00:00:00,2006-07-05 00:00:00,12.25,2006-07-05 00:00:00,12,12.25,3,2500,30500,2006-07-05 00:00:00,1
2006-07-06 00:00:00,2006-07-06 00:00:00,12.5,2006-07-06 00:00:00,12.5,12.5,1,5000,62500,2006-07-06 00:00:00,1
2006-07-07 00:00:00,2006-07-07 00:00:00,12,2006-07-07 00:00:00,12,12,1,1000,12000,2006-07-07 00:00:00,1
2006-07-13 00:00:00,2006-07-13 00:00:00,12.25,2006-07-13 00:00:00,12.25,12.25,2,1300,15925,2006-07-13 00:00:00,1
2006-07-18 00:00:00,2006-07-18 00:00:00,14,2006-07-18 00:00:00,13,13,5,11000,143725,2006-07-18 00:00:00,1
2006-07-19 00:00:00,2006-07-19 00:00:00,13.25,2006-07-19 00:00:00,12.75,13,6,4700,61875,2006-07-19 00:00:00,1
2006-07-24 00:00:00,2006-07-24 00:00:00,13,2006-07-24 00:00:00,12.5,12.5,6,8300,105150,2006-07-24 00:00:00,1
2006-07-25 00:00:00,2006-07-25 00:00:00,12.5,2006-07-25 00:00:00,12.5,12.5,1,1000,12500,2006-07-25 00:00:00,1
2006-07-27 00:00:00,2006-07-27 00:00:00,13.75,2006-07-27 00:00:00,12.25,12.75,9,6000,79100,2006-07-27 00:00:00,1
2006-07-28 00:00:00,2006-07-28 00:00:00,13,2006-07-28 00:00:00,13,13,11,20900,271700,2006-07-28 00:00:00,1
2006-08-02 00:00:00,2006-08-02 00:00:00,13,2006-08-02 00:00:00,12.75,12.75,3,2000,25750,2006-08-02 00:00:00,1
2006-08-04 00:00:00,2006-08-04 00:00:00,12.5,2006-08-04 00:00:00,12.5,12.5,1,100,1250,2006-08-04 00:00:00,1
2006-08-10 00:00:00,2006-08-10 00:00:00,13.5,2006-08-10 00:00:00,12.5,12.5,8,6900,87850,2006-08-10 00:00:00,1
2006-08-11 00:00:00,2006-08-11 00:00:00,12.25,2006-08-11 00:00:00,12.25,12.25,1,200,2450,2006-08-11 00:00:00,1
2006-08-14 00:00:00,2006-08-14 00:00:00,13,2006-08-14 00:00:00,13,13,1,1000,13000,2006-08-14 00:00:00,1
2006-08-15 00:00:00,2006-08-15 00:00:00,12.25,2006-08-15 00:00:00,12.25,12.25,1,200,2450,2006-08-15 00:00:00,1
2006-08-17 00:00:00,2006-08-17 00:00:00,12.75,2006-08-17 00:00:00,12.5,12.5,8,11000,137750,2006-08-17 00:00:00,1
2006-08-21 00:00:00,2006-08-21 00:00:00,12.5,2006-08-21 00:00:00,12,12,2,600,7250,2006-08-21 00:00:00,1
2006-08-23 00:00:00,2006-08-23 00:00:00,12,2006-08-23 00:00:00,12,12,4,2000,24000,2006-08-23 00:00:00,1
2006-08-25 00:00:00,2006-08-25 00:00:00,12.25,2006-08-25 00:00:00,12,12,5,1300,15675,2006-08-25 00:00:00,1
2006-08-28 00:00:00,2006-08-28 00:00:00,12.25,2006-08-28 00:00:00,12.25,12.25,1,100,1225,2006-08-28 00:00:00,1
2006-08-31 00:00:00,2006-08-31 00:00:00,12.25,2006-08-31 00:00:00,12.25,12.25,3,1000,12250,2006-08-31 00:00:00,1
2006-09-04 00:00:00,2006-09-04 00:00:00,12.25,2006-09-04 00:00:00,12.25,12.25,1,500,6125,2006-09-04 00:00:00,1
2006-09-05 00:00:00,2006-09-05 00:00:00,12,2006-09-05 00:00:00,12,12,5,4000,48000,2006-09-05 00:00:00,1
2006-09-06 00:00:00,2006-09-06 00:00:00,12,2006-09-06 00:00:00,12,12,1,100,1200,2006-09-06 00:00:00,1
2006-09-08 00:00:00,2006-09-08 00:00:00,12.25,2006-09-08 00:00:00,12,12,3,3400,40900,2006-09-08 00:00:00,1
2006-09-11 00:00:00,2006-09-11 00:00:00,12,2006-09-11 00:00:00,11.75,11.75,4,8000,94750,2006-09-11 00:00:00,1
2006-09-12 00:00:00,2006-09-12 00:00:00,12.75,2006-09-12 00:00:00,12,12.25,31,25500,313225,2006-09-12 00:00:00,1
2006-09-13 00:00:00,2006-09-13 00:00:00,12.5,2006-09-13 00:00:00,12.5,12.5,1,1500,18750,2006-09-13 00:00:00,1
2006-09-14 00:00:00,2006-09-14 00:00:00,12.5,2006-09-14 00:00:00,12.5,12.5,1,4000,50000,2006-09-14 00:00:00,1
2006-09-15 00:00:00,2006-09-15 00:00:00,12.5,2006-09-15 00:00:00,12.5,12.5,1,1000,12500,2006-09-15 00:00:00,1
2006-09-18 00:00:00,2006-09-18 00:00:00,13.25,2006-09-18 00:00:00,12.75,13,74,152800,1986325,2006-09-18 00:00:00,1
2006-09-19 00:00:00,2006-09-19 00:00:00,13,2006-09-19 00:00:00,12.75,13,5,4100,53025,2006-09-19 00:00:00,1
2006-09-20 00:00:00,2006-09-20 00:00:00,13.75,2006-09-20 00:00:00,13,13.5,210,565300,7445975,2006-09-20 00:00:00,1
2006-09-21 00:00:00,2006-09-21 00:00:00,13.75,2006-09-21 00:00:00,13.25,13.5,20,27700,372625,2006-09-21 00:00:00,1
2006-09-22 00:00:00,2006-09-22 00:00:00,13.25,2006-09-22 00:00:00,13.25,13.25,7,5700,75525,2006-09-22 00:00:00,1
2006-09-25 00:00:00,2006-09-25 00:00:00,13.25,2006-09-25 00:00:00,13,13,8,8600,111875,2006-09-25 00:00:00,1
2006-09-26 00:00:00,2006-09-26 00:00:00,13.25,2006-09-26 00:00:00,13,13.25,6,5400,70250,2006-09-26 00:00:00,1
2006-09-27 00:00:00,2006-09-27 00:00:00,13.5,2006-09-27 00:00:00,13,13,3,300,4000,2006-09-27 00:00:00,1
2006-09-28 00:00:00,2006-09-28 00:00:00,13.5,2006-09-28 00:00:00,13,13,16,43600,580575,2006-09-28 00:00:00,1
2006-09-29 00:00:00,2006-09-29 00:00:00,13.5,2006-09-29 00:00:00,13,13.25,13,25900,339225,2006-09-29 00:00:00,1
2006-10-02 00:00:00,2006-10-02 00:00:00,13.25,2006-10-02 00:00:00,12.75,13,12,12300,159550,2006-10-02 00:00:00,1
2006-10-03 00:00:00,2006-10-03 00:00:00,13,2006-10-03 00:00:00,13,13,2,3900,50700,2006-10-03 00:00:00,1
2006-10-04 00:00:00,2006-10-04 00:00:00,13.25,2006-10-04 00:00:00,13,13,5,20400,265575,2006-10-04 00:00:00,1
2006-10-05 00:00:00,2006-10-05 00:00:00,15,2006-10-05 00:00:00,13.25,14.75,209,1230600,17785800,2006-10-05 00:00:00,1
2006-10-09 00:00:00,2006-10-09 00:00:00,15.25,2006-10-09 00:00:00,14.5,14.75,25,54900,827225,2006-10-09 00:00:00,1
2006-10-10 00:00:00,2006-10-10 00:00:00,15,2006-10-10 00:00:00,14.75,14.75,10,53500,800875,2006-10-10 00:00:00,1
2006-10-11 00:00:00,2006-10-11 00:00:00,14.75,2006-10-11 00:00:00,13.75,14.75,10,27000,395750,2006-10-11 00:00:00,1
2006-10-12 00:00:00,2006-10-12 00:00:00,15,2006-10-12 00:00:00,14.75,14.75,4,3100,45750,2006-10-12 00:00:00,1
2006-10-13 00:00:00,2006-10-13 00:00:00,15.5,2006-10-13 00:00:00,14.75,15.25,68,108100,1633750,2006-10-13 00:00:00,1
2006-10-16 00:00:00,2006-10-16 00:00:00,15.25,2006-10-16 00:00:00,15,15,7,14400,217325,2006-10-16 00:00:00,1
2006-10-17 00:00:00,2006-10-17 00:00:00,15.25,2006-10-17 00:00:00,15,15.25,11,20300,307000,2006-10-17 00:00:00,1
2006-10-18 00:00:00,2006-10-18 00:00:00,16.25,2006-10-18 00:00:00,14.75,16,109,211800,3313150,2006-10-18 00:00:00,1
_x000c_ REPORT :,HIGHLOW Rev,2.1,,,,,,RUN :,2007-11-23 00:00:00,
,,,DAILY,"HIGH, LOW",AND CLOSIN,G PRICES A,S AT    23-NOV-2,007          PAGE:,4,
,,,==========,===========,===========,==========,================,,,
Company Id,:  AAIC,Security,Type :  N,Sub T,ype :  0000,,,,,
Short Name,:  ASIAN AL,LIANCE,,,,,,,,
-----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
Day,Date High,High,Date Low,Low,Closing,Trades(No,.)  Shares(No.),Turnover(Rs.),Last TradedD,ays Tr
----------,-----------,------------,------------,-----------,-----------,----------,----------------,-------------------,-------------,------
2006-10-19 00:00:00,2006-10-19 00:00:00,16.25,2006-10-19 00:00:00,15,15.25,27,24400,377675,2006-10-19 00:00:00,1
2006-10-20 00:00:00,2006-10-20 00:00:00,16.5,2006-10-20 00:00:00,15.5,16,69,138100,2211025,2006-10-20 00:00:00,1
2006-10-23 00:00:00,2006-10-23 00:00:00,16.5,2006-10-23 00:00:00,15.75,15.75,5,1700,27050,2006-10-23 00:00:00,1
2006-10-25 00:00:00,2006-10-25 00:00:00,16,2006-10-25 00:00:00,15.75,15.75,8,12000,189250,2006-10-25 00:00:00,1
2006-10-26 00:00:00,2006-10-26 00:00:00,15.5,2006-10-26 00:00:00,15.5,15.5,3,3500,54250,2006-10-26 00:00:00,1
2006-10-27 00:00:00,2006-10-27 00:00:00,15.5,2006-10-27 00:00:00,15.5,15.5,1,1000,15500,2006-10-27 00:00:00,1
2006-10-30 00:00:00,2006-10-30 00:00:00,15,2006-10-30 00:00:00,15,15,2,1000,15000,2006-10-30 00:00:00,1
2006-10-31 00:00:00,2006-10-31 00:00:00,15,2006-10-31 00:00:00,14.75,14.75,2,1800,26750,2006-10-31 00:00:00,1
2006-11-01 00:00:00,2006-11-01 00:00:00,15.5,2006-11-01 00:00:00,14.75,15,7,16100,242675,2006-11-01 00:00:00,1
2006-11-02 00:00:00,2006-11-02 00:00:00,15,2006-11-02 00:00:00,14.75,15,5,2200,32725,2006-11-02 00:00:00,1
2006-11-03 00:00:00,2006-11-03 00:00:00,17,2006-11-03 00:00:00,15,16,85,198900,3246350,2006-11-03 00:00:00,1
2006-11-06 00:00:00,2006-11-06 00:00:00,16,2006-11-06 00:00:00,15.25,15.75,11,27800,440400,2006-11-06 00:00:00,1
2006-11-07 00:00:00,2006-11-07 00:00:00,15.75,2006-11-07 00:00:00,14.75,14.75,9,12200,185500,2006-11-07 00:00:00,1
2006-11-08 00:00:00,2006-11-08 00:00:00,15.5,2006-11-08 00:00:00,15.5,15.5,1,2800,43400,2006-11-08 00:00:00,1
2006-11-09 00:00:00,2006-11-09 00:00:00,16,2006-11-09 00:00:00,15.5,15.5,6,2600,40800,2006-11-09 00:00:00,1
2006-11-14 00:00:00,2006-11-14 00:00:00,15.5,2006-11-14 00:00:00,15,15.25,4,5300,80850,2006-11-14 00:00:00,1
